ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
59,Dominica,DM,DMA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.011,-0.025,0.229,0.094,-0.378,0.216,-0.087,-0.194,0.361,0.225,-0.199,-0.092,0.333,-0.219,-0.255,-0.293,0.285,0.34,0.31,0.735,0.675,0.267,0.712,0.111,0.085,0.147,0.743,0.462,0.026,0.568,0.647,0.591,0.7,0.686,0.858,0.562,0.753,1.256,0.662,0.489,,0.697,0.894,0.558,0.928,0.751,0.986,0.393,0.609,1.377,0.653,0.751,0.762,0.765,1.042,1.202,0.958,0.846,0.937,1.236,0.936,0.844,1.173,1.668
60,Dominican Rep.,DO,DOM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.05,-0.025,0.036,0.19,-0.332,-0.004,-0.239,-0.269,0.318,0.027,-0.28,0.046,0.303,-0.471,-0.049,-0.373,0.325,0.292,0.236,0.763,0.596,0.324,0.692,0.296,0.105,0.219,0.71,0.651,0.193,0.544,0.391,0.173,0.379,0.595,0.773,0.377,0.669,1.095,0.63,0.357,0.776,0.873,0.949,0.55,0.842,0.79,1.06,0.49,0.617,1.06,0.461,0.686,0.959,0.854,1.155,1.145,0.903,1.023,0.99,1.495,1.079,0.961,1.302,1.486
61,Ecuador,EC,ECU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.138,-0.179,-0.009,-0.194,0.299,0.11,-0.41,-0.364,0.415,-0.118,-0.557,0.51,0.041,-0.332,-0.471,0.141,0.208,0.096,0.293,0.3,-0.176,0.34,0.842,-0.221,-0.308,-0.055,0.777,0.123,-0.228,0.304,0.366,0.71,0.436,0.267,0.591,-0.081,0.973,1.087,0.104,0.121,0.388,0.687,0.708,0.685,0.675,0.656,0.665,0.58,0.976,0.911,0.844,0.699,0.481,1.119,1.566,1.543,1.118,1.024,1.331,1.409,0.909,0.804,2.107,2.022
62,"Egypt, Arab Rep. of",EG,EGY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.223,0.67,0.644,-0.365,-0.08,0.457,-0.68,-0.131,0.43,-0.079,-0.247,-0.014,-0.297,-0.123,-0.486,-0.28,-0.136,-0.285,0.583,-0.096,-0.267,-0.379,-1.09,-0.193,0.23,0.093,-0.367,0.199,-0.196,-0.123,0.382,-0.644,-0.021,0.601,0.136,0.383,0.003,0.732,0.833,0.099,0.701,0.832,0.728,0.648,0.51,0.707,0.571,0.898,0.884,2.299,0.598,0.92,1.035,1.242,1.181,1.373,0.587,2.053,1.013,1.008,1.695,0.63,1.883,2.058
63,El Salvador,SV,SLV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.057,-0.161,-0.158,-0.083,-0.099,0.089,-0.488,-0.342,0.263,-0.035,-0.255,0.45,0.444,-0.222,0.132,-0.086,0.581,0.264,0.572,0.572,0.194,0.506,0.833,0.204,0.272,0.29,0.833,0.613,0.262,0.547,0.639,0.649,0.419,0.768,0.726,0.274,0.938,1.037,0.317,0.006,0.419,0.761,1.006,0.79,0.545,0.573,0.573,0.319,0.916,0.575,0.56,0.702,0.688,0.65,1.277,1.241,0.708,0.776,0.995,1.456,1.063,0.794,1.497,1.571
64,"Equatorial Guinea, Rep. of",GQ,GNQ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.135,-0.047,0.248,-0.139,-0.155,0.143,-0.048,-0.045,0.125,0.27,-0.096,-0.05,0.489,-0.14,-0.152,-0.309,0.201,-0.004,0.364,0.319,0.105,-0.089,0.152,0.221,-0.011,-0.081,0.399,0.308,0,0.163,,-0.176,0.089,0.302,0.951,0.42,,1.048,0.578,0.423,0.404,0.653,0.943,0.832,0.841,0.69,0.867,0.729,0.828,0.947,0.607,0.582,0.683,0.798,0.755,1.382,1.202,0.6,1.372,1.292,1.02,1.052,1.085,1.515
65,"Eritrea, The State of",ER,ERI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.212,0.372,0.763,0.501,0.44,1.022,0.608,1.071,0.742,0.876,0.245,1.049,1.716,1.629,1.506,1.489,1.125,0.902,1.766,0.98,1.288,0.867,0.703,,1.216,0.248,,
66,"Estonia, Rep. of",EE,EST,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.555,0.355,1.738,-0.368,0.909,0.519,1.498,2.042,1.811,1.452,0.196,1.149,1.574,1.235,2.24,2.573,1.594,0.514,1.272,1.432,1.149,2.406,2.338,1.901,1.466,2.379,2.182,3.584,2.122,1.942,2.16,2.751
67,"Eswatini, Kingdom of",SZ,SWZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.312,0.451,-0.194,0.065,-0.18,0.333,-0.261,-0.385,0.469,0.598,0.019,-0.375,0.141,-0.218,-0.368,-0.393,0.343,0.237,0.275,-0.086,-0.382,0.262,1.008,0.034,0.599,0.355,0.6,0.664,0.185,0.345,0.591,1.212,0.794,0.044,0.659,0.026,0.304,1.04,0.523,-0.089,0.546,0.756,0.942,0.823,1.269,0.462,1.181,0.701,0.463,1.288,0.693,0.68,0.48,0.607,1.231,1.595,0.94,1.285,1.69,0.699,0.519,1.12,0.849,1.029
68,"Ethiopia, The Federal Dem. Rep. of",ET,ETH,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235,0.567,0.752,0.745,0.667,0.767,0.268,0.524,0.691,1.052,1.099,0.809,1.037,0.913,0.823,0.793,1.315,1.272,1.101,0.996,1.156,1.076,1.345,1.39,1.228,0.539,0.959,0.941,1.045,0.995,1.071,1.849
69,Europe,,EURTMP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.885,0.308,0.105,-0.524,-0.435,0.723,0.167,0.042,-1.014,0.185,0.262,-0.153,0.169,0.015,0.839,-0.562,0.186,-0.169,0.135,-0.068,0.66,0.107,0.934,0.272,-0.608,0.251,-0.569,0.489,1.036,1.259,0.595,0.471,0.75,0.696,1.827,0.565,1.096,0.186,0.586,1.341,0.95,1.504,0.969,1.28,1.529,0.668,2.298,2.012,1.223,0.801,1.531,1.774,1.101,1.822,2.105,2.278,1.959,2.001,2.095,3.348,1.587,2.231,2.423,2.425
70,Falkland Islands (Malvinas),FK,FLK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.351,0.401,-0.286,-0.082,0.178,-0.606,0.011,0.286,-0.348,0.203,-0.223,-0.505,0.219,0.211,0.128,-0.223,-0.089,0.228,0.644,0.186,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Faroe Islands,FO,FRO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.632,-0.479,-0.055,0.478,-0.354,-0.393,-0.121,-0.251,-0.346,-0.512,0.242,0.669,-0.053,0.497,-0.028,0.504,-0.315,-0.115,-0.878,0.024,-0.39,0.185,-0.317,0.431,-0.186,-0.206,0.132,0.196,0.419,0.671,0.972,0.661,0.081,-0.028,-0.173,0.327,0.873,0.657,0.56,0.267,0.527,1.101,1.671,1.087,0.545,1.193,1.01,0.947,1.502,0.318,1.116,0.425,0.661,1.833,0.882,0.873,1.559,0.901,0.942,0.909,1.055,1.311,0.76,1.092
72,"Fiji, Rep. of",FJ,FJI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.25,-0.065,-0.028,0.205,-0.598,-0.235,-0.239,-0.058,-0.067,0.146,0.144,-0.229,0.456,0.197,0.199,-0.009,-0.087,-0.056,0.058,0.065,0.038,0.033,-0.035,0.338,0.277,-0.328,-0.077,0.522,-0.054,0.086,-0.031,0.012,-0.377,-0.201,0.305,0.338,0.043,0.662,0.452,0.577,0.605,0.606,0.531,0.392,0.539,0.592,0.906,0.436,0.152,0.656,0.652,0.367,0.771,0.544,0.468,0.931,1.021,0.633,0.817,1.02,0.848,1.066,0.764,1.019
73,Finland,FI,FIN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",1.895,-0.329,-0.396,0.344,-0.261,-1.799,1.092,-1.629,-0.475,-0.628,-0.452,0.932,1.135,1.113,1.884,-0.884,-0.236,-0.533,-0.766,-0.392,-0.25,-0.165,0.955,0.751,-1.179,-0.187,-1.659,0.58,2.178,1.25,1.137,1.164,0.938,0.145,1.699,0.139,0.784,0.072,1.16,2.027,1.372,1.171,0.709,1.232,2.199,1.2,1.942,2.123,1.687,0.236,1.344,1.532,1.42,2.58,2.604,2.147,1.48,2.151,1.446,3.316,1.937,2.051,1.879,2.263
74,France,FR,FRA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.831,-0.297,-0.949,0.029,-0.622,0.423,0.497,-0.077,0.017,-0.105,-0.174,-0.331,0.05,-0.086,0.475,0.362,0.014,-0.218,-0.191,-0.222,0.092,0.805,0.712,-0.086,-0.333,0.009,0.016,0.785,1.281,1.591,0.253,0.657,0.33,1.555,1.334,0.2,1.249,0.959,1.222,1.201,1.42,1.077,1.82,0.996,1.039,1.33,1.423,1.006,1.223,0.403,1.54,1.228,0.728,2.07,1.621,1.797,1.792,2.032,1.998,2.527,1.309,2.906,2.623,2.422
75,French Polynesia,PF,PYF,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.08,-0.169,-0.085,-0.255,-0.174,0.035,-0.324,-0.569,0.29,0.234,-0.225,0.215,0.39,-0.262,-0.162,-0.17,0.304,-0.03,0.145,0.271,0.146,0.327,0.192,0.401,0.139,0.249,0.398,0.274,0.078,0.277,0.2,0.217,-0.011,0.392,0.426,0.009,0.17,0.449,0.27,0.148,0.352,0.648,0.539,0.371,0.527,0.691,0.707,0.216,0.632,0.608,0.073,0.575,0.394,0.439,0.499,0.946,0.714,0.443,0.669,0.638,0.594,0.162,0.828,0.895
76,Gabon,GA,GAB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.098,-0.036,0.26,-0.123,-0.134,0.17,-0.095,-0.098,0.152,0.175,-0.036,-0.04,0.496,-0.052,-0.111,-0.314,0.199,0.08,0.396,0.323,-0.101,-0.33,0.196,0.187,-0.189,-0.104,0.293,0.295,-0.065,0.212,0.219,-0.184,0.191,0.232,0.729,0.221,0.431,1.174,0.642,0.373,0.266,0.678,0.909,0.861,0.774,0.764,0.905,0.774,0.801,1.127,0.586,0.593,0.692,0.766,0.894,1.432,1.213,0.963,1.404,1.29,1.03,0.897,1.186,1.275
77,"Gambia, The",GM,GMB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.137,-0.046,0.123,-0.185,-0.467,-0.091,-0.389,-0.555,0.81,0.402,-0.039,0.316,0.688,-0.214,-0.168,-0.044,0.532,0.445,0.649,0.844,0.641,0.378,1.236,0.617,0.337,0.619,1.026,0.791,0.571,1.127,0.78,0.824,1.017,0.783,0.849,1.109,1.271,1.5,0.702,0.914,1.265,1.348,1.091,1.182,1.523,1.219,1.095,1.373,0.67,1.251,1.004,0.913,0.998,1.195,1.217,1.657,1.738,1.035,1.344,1.853,1.72,1.444,1.791,1.998
78,Georgia,GE,GEO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.161,-1.225,0.435,0.726,0.179,0.344,1.264,1.222,0.954,1.253,1.046,-0.256,0.855,0.516,1.218,0.877,0.649,0.632,2.402,0.408,1.235,1.35,1.209,1.705,1.325,0.749,2.459,1.683,1.975,1.722,1.62,2.062,2.387
79,Germany,DE,DEU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.992,-0.749,-1.084,-0.329,-0.815,0.405,0.868,0.204,-0.111,-0.834,0.03,-0.018,0.185,0.315,1.096,0.466,0.281,-0.174,-0.64,-0.186,0.297,0.439,1.071,-0.11,-0.799,-0.005,-0.558,0.894,1.493,1.575,0.291,1.232,0.314,1.628,1.311,-0.695,0.564,1.158,1.371,1.768,1.296,1.493,1.259,0.998,1.024,1.256,2.091,1.543,1.28,0.196,1.121,1.35,0.584,2.519,1.675,1.989,1.652,2.393,2.328,2.512,1.321,2.593,2.458,2.998
80,Ghana,GH,GHA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.102,-0.17,0.12,-0.22,-0.141,0.085,-0.197,-0.104,0.342,0.347,-0.118,0.068,0.604,0.031,-0.181,-0.317,0.34,0.12,0.613,0.502,0.241,0.219,0.746,0.684,0.392,0.336,1.022,0.697,0.277,0.568,0.431,0.187,0.495,0.514,0.773,0.688,0.478,1.208,0.62,0.495,0.598,0.848,1.067,0.78,1.021,1.048,0.949,0.728,0.873,1.245,0.872,0.635,0.897,0.892,1.109,1.238,1.335,1.143,1.247,1.294,1.53,1.04,1.38,1.72
81,Gibraltar,GI,GIB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.606,0.553,0.009,0.469,-0.092,0.23,-0.125,0.004,-0.336,-0.085,-0.847,-0.903,-0.176,-0.435,-0.205,-0.492,-0.186,0.184,0.367,0.272,0.317,0.432,0.329,-0.201,0.544,0.18,0.453,0.75,0.897,1.198,0.125,0.182,-0.104,0.744,1.269,0.699,1.423,1.064,0.661,0.779,1.204,0.767,1.291,0.932,0.759,1.357,0.735,0.889,1.175,1.244,1.574,0.871,0.792,1.365,1.311,1.677,1.97,0.668,1.248,1.87,1.401,2.14,2.486,2.113
82,Greece,GR,GRC,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.466,0.61,0.296,-0.311,-0.328,0.789,-0.196,0.189,-0.08,0.274,-0.229,-0.186,-0.36,-0.191,-0.252,-0.913,0.338,-0.547,0.185,-0.375,-0.188,-0.245,-0.494,-0.123,-0.057,0.315,-0.393,0.133,-0.202,0.363,-0.21,-0.54,-0.33,1.066,-0.041,-0.16,-0.188,0.645,0.814,0.691,1.329,0.458,0.411,0.358,0.223,0.274,1.09,0.873,0.753,1.567,0.388,1.227,1.316,1.068,0.894,1.565,0.639,1.895,1.363,1.275,1.631,1.049,1.893,2.68
83,Greenland,GL,GRL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.398,0.925,0.483,0.305,0.869,-0.168,-0.417,-0.276,-0.08,-0.284,-0.838,-1.083,-0.892,0.418,-1.092,-0.35,1.001,-0.677,0.664,1.062,-0.288,-0.617,-2.421,-1.923,0.973,0.512,-0.179,0.562,-1.677,-0.458,-0.319,-1.356,-1.522,-0.575,-0.431,0.617,0.417,1.242,0.41,0.899,0.852,1.07,2.361,1.472,1.899,1.677,1.409,0.866,0.83,3.231,1.618,1.544,1.41,1.651,0.127,2.362,1.159,0.916,2.126,1.104,2.18,1.43,1.165,1.367
84,Grenada,GD,GRD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.394,-0.252,0.445,-0.151,-0.16,0.139,-0.131,-0.146,0.478,0.351,-0.39,-0.211,0.048,-0.465,-0.465,-0.103,-0.047,0.086,0.29,0.318,0.334,0.124,0.38,-0.044,-0.583,-0.24,0.449,0.496,-0.147,0.137,0.318,0.351,0.468,0.466,0.791,0.501,0.649,1.341,0.73,0.671,0.764,0.586,0.968,0.473,1.258,0.792,0.774,0.623,0.614,1.394,0.873,0.735,0.94,0.765,0.997,0.99,1.444,0.901,1.457,1.692,1.282,1.075,1.672,2.268
85,Guadeloupe,GP,GLP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.008,-0.035,0.21,0.096,-0.356,0.148,-0.147,-0.178,0.379,0.194,-0.197,-0.059,0.291,-0.234,-0.244,-0.294,0.28,0.354,0.276,0.735,0.686,0.276,0.678,0.132,0.062,0.152,0.736,0.497,0.05,0.573,0.623,0.55,0.655,0.678,0.822,0.529,0.708,1.241,0.654,0.436,0.709,0.823,0.94,0.541,0.918,0.733,0.992,0.426,0.624,1.336,0.623,0.783,0.782,0.833,1.102,1.19,0.995,0.844,0.952,1.265,0.903,0.856,1.171,1.621
86,Guatemala,GT,GTM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.035,-0.129,-0.104,-0.08,-0.083,-0.086,-0.396,-0.359,0.393,-0.096,-0.105,0.488,0.524,-0.212,0.236,-0.279,0.33,0.23,0.439,0.578,0.133,0.593,0.79,0.253,0.272,0.226,0.478,0.578,0.218,0.408,0.705,0.552,0.473,0.741,0.762,0.285,0.877,1.053,0.659,0.274,0.336,0.666,1.131,0.804,0.924,0.736,0.742,0.311,0.844,0.778,0.516,0.616,0.712,0.699,1.141,1.435,1.078,0.891,1.405,1.701,1.433,1.067,1.693,1.875
87,"Guiana, French",GF,GUF,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.087,-0.083,-0.071,-0.008,-0.2,0.108,-0.16,-0.156,0.474,0.205,-0.361,-0.038,0.182,-0.341,-0.302,-0.155,0.119,0.15,0.3,0.397,0.406,0.345,0.741,0.035,0.081,0.247,0.822,0.6,0.143,0.438,0.526,0.579,0.57,0.548,0.929,0.658,0.818,1.544,0.874,0.768,0.861,1.001,1.255,1.258,1.742,1.181,1.397,1.158,1.559,1.778,1.345,1.319,1.477,1.541,1.794,2.205,1.934,1.673,1.962,2.072,1.762,1.638,2.1,2.759
88,Guinea,GN,GIN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.126,-0.135,0.163,-0.182,-0.107,-0.024,-0.241,-0.191,0.432,0.342,-0.138,0.197,0.597,-0.058,-0.232,-0.224,0.229,0.218,0.519,0.677,0.374,0.264,0.699,0.43,0.442,0.155,0.884,0.667,0.212,0.711,0.72,0.382,0.748,0.506,0.506,0.816,0.813,1.239,0.562,0.71,0.829,1.164,1.06,1.103,1.206,1.125,0.99,1.099,0.973,1.331,1.07,0.535,0.927,0.823,1.147,1.123,1.452,1.079,1.235,1.31,1.583,1.175,1.505,1.63
